Date,Close,High,Low,Open,Volume
2015-03-02,28.256799697875977,28.29685892351715,27.63413460740929,27.72216842115126,42592618
2015-03-03,28.37055206298828,28.457100803992798,28.01841679324212,28.212783975028504,34095352
2015-03-04,28.357196807861328,28.54216543625212,28.09210783560282,28.283011094078216,37536775
2015-03-05,28.454133987426758,28.581733265913698,28.359176120857352,28.438800809984336,27792094
2015-03-06,28.076030731201172,28.520897148869235,28.030282815112287,28.431873921369665,33182854
2015-03-09,28.133651733398438,28.203879764903775,27.87078754177073,28.03522995280835,21242161
2015-03-10,27.44916343688965,27.93582008041175,27.435315337502757,27.90614693302331,35846146
2015-03-11,27.259742736816406,27.60396450497767,27.23501479755937,27.455593085801556,36415706
2015-03-12,27.473894119262695,27.516425950070584,27.224134541151834,27.374980465059753,27792094
2015-03-13,27.06884002685547,27.616823733341565,26.91552339514572,27.37448386999432,34071287
2015-03-16,27.424434661865234,27.540164670674002,27.003554582424268,27.248367043926006,32819860
2015-03-17,27.242929458618164,27.38932204367111,27.102471503573632,27.285956945041935,36110871
2015-03-18,27.67123031616211,27.685078418259792,27.053016607447958,27.32502965553723,42690887
2015-03-19,27.59654426574707,27.73551712614023,27.50529437535497,27.665782867945946,23945563
2015-03-20,27.713754653930664,27.78101819722132,27.64896749871953,27.777556172633446,52337299
2015-03-23,27.63709831237793,27.812672158691846,27.489716320749224,27.717220539570782,32876014
2015-03-24,28.199920654296875,28.417532571718596,27.755797712631164,27.822563715601287,51665459
2015-03-25,27.6358642578125,28.3022983942703,27.633639481093162,28.21525400512623,43045859
2015-03-26,27.45707893371582,27.64155190079219,27.233530486591427,27.57676284413741,31452115
2015-03-27,27.11928367614746,27.462516009976813,27.108897601558237,27.34975426573441,37949906
2015-03-30,27.30178451538086,27.373001968939892,27.110879363140313,27.281506128219238,25750504
2015-03-31,27.10247230529785,27.434329182244312,27.039166430307063,27.201385961392447,31760961
2015-04-01,26.833425521850586,27.25776576664906,26.68208583150697,27.13214532940521,39261497
2015-04-02,26.485740661621094,26.748852677875025,26.402504497346545,26.748852677875025,34327989
2015-04-06,26.546817779541016,26.6281753631447,26.19097459745711,26.32203588514217,26488525
2015-04-07,26.559431076049805,26.839853221622246,26.508985775118887,26.6118571094043,26057345
2015-04-08,26.786436080932617,26.897220871025624,26.626691072813536,26.626691072813536,23570536
2015-04-09,26.74538803100586,26.803253031848968,26.483761116741732,26.75775105387537,31157308
2015-04-10,26.707307815551758,26.82006956534405,26.573773915558657,26.82006956534405,28189181
2015-04-13,26.665761947631836,26.90760802971493,26.57377235344787,26.628175330516214,32906096
2015-04-14,26.23153305053711,26.586634688815412,26.11788213782577,26.52135186408228,52082601
2015-04-15,26.33736801147461,26.44617396922555,25.87692436924613,26.147947951562745,46376979
2015-04-16,26.40018081665039,26.488710289453735,26.192956847455168,26.207298712856527,25997180
2015-04-17,25.917972564697266,26.204327426302836,25.76762231020487,26.14596865927738,43037837
2015-04-20,26.478322982788086,26.513436998266354,25.940229687679278,25.99463266936715,33585958
2015-04-21,26.40859031677246,26.676647560279616,26.39399873130832,26.5836666405367,36895018
2015-04-22,26.6754093170166,26.76022893453064,26.29879394562763,26.429855247336953,31871263
2015-04-23,27.053010940551758,27.248861277895482,26.718187738863485,26.75627001165488,83697161
